Date,P (cm),T (degC),ObvQ (cms)
12/18/2013,1.731,13.27916667,127.3796296
12/19/2013,0.589,12.03333333,65.34027778
12/20/2013,0.858,12.3875,44.87962963
12/21/2013,0.902,11.72916667,44.12037037
12/22/2013,0,13.5375,36.15972222
12/23/2013,0.065,14.53043478,35.73032407
12/24/2013,0.501,13.62916667,32.36921296
12/25/2013,0.326,14.96666667,29.29976852
12/26/2013,1.184,13.21666667,43.62037037
12/27/2013,0.469,10.38333333,46.09953704
12/28/2013,0.04,11.85833333,37.39930556
12/29/2013,0.167,11.0125,30.30902778
12/30/2013,0,14.10416667,29.48032407
12/31/2013,0,12.7625,16.48032407
1/1/2014,0,15.37916667,25.84953704
1/2/2014,0,17.40833333,22.76041667
1/3/2014,0.077,15.95416667,23.06018519
1/4/2014,0,13.5375,22.45949074
1/5/2014,0,12.56666667,19.96990741
1/6/2014,0,14.66666667,18.59953704
1/7/2014,0,16.46666667,18.26967593
1/8/2014,0.629,14.25416667,21.62962963
1/9/2014,0.02,9.7,18.00925926
1/10/2014,0,14.07083333,16.93055556
1/11/2014,0,15.5875,16.06944444
1/12/2014,0.009,13.13333333,17.26041667
1/13/2014,0.034,12.21666667,15.69907407
1/14/2014,0.273,10.4,14.84027778
1/15/2014,0.026,10.8625,16.42013889
1/16/2014,0,12.40833333,17.98032407
1/17/2014,0,13.07916667,16.1099537
1/18/2014,0,10.52916667,14.6099537
1/19/2014,0,13.38333333,14.42013889
1/20/2014,0.034,11.975,12.42013889
1/21/2014,0.026,8.504347826,13.81944444
1/22/2014,0,8.445833333,13.71990741
1/23/2014,0,11.47083333,13.56018519
1/24/2014,0,12.17916667,10.31944444
1/25/2014,0,14.54583333,12.04976852
1/26/2014,0,12.66666667,12.18055556
1/27/2014,0,14.22083333,12.54976852
1/28/2014,0,15.72083333,13.45023148
1/29/2014,0,15.94583333,13.04976852
1/30/2014,0,17.30833333,12.68981481
1/31/2014,0,17.375,11.54050926
2/1/2014,0,17.54166667,10.21990741
2/2/2014,0,18.58333333,11.40972222
2/3/2014,0,18.2,9.730324074
2/4/2014,0.074,15.07916667,10.68981481
2/5/2014,0.477,15.18333333,13.76041667
2/6/2014,0.004,16.11052632,12.89930556
2/7/2014,0.152,14.85,11.78009259
2/8/2014,0.414,12.18333333,12.1099537
2/9/2014,4.97,10.8125,33.79976852
2/10/2014,1.076,6.329166667,40.26967593
2/11/2014,0.504,4.866666667,26.17013889
2/12/2014,0.338,8.869565217,20.5
2/13/2014,0.659,10.5625,23.59953704
2/14/2014,1.071,8.775,27.73958333
2/15/2014,0.022,11.525,23.59027778
2/16/2014,0,14.44583333,21.56944444
2/17/2014,0,16.85,20.81944444
2/18/2014,0.255,14.125,17.8599537
2/19/2014,2.888,8.445833333,24.54050926
2/20/2014,0.063,7.75,35.12962963
2/21/2014,0,11.0125,27.34953704
2/22/2014,0,13.44583333,20.09953704
2/23/2014,0,15.69166667,18.68981481
2/24/2014,0,15.70416667,17.15972222
2/25/2014,0,17.09166667,17.8599537
2/26/2014,0,17.25416667,15.32986111
2/27/2014,0,16.16666667,15.73032407
2/28/2014,0,17.82083333,15.92013889
3/1/2014,0.014,17.3875,13.98958333
3/2/2014,0.661,12.65833333,16.20023148
3/3/2014,0.344,12.27083333,13.56944444
3/4/2014,0.256,13.375,14.6099537
3/5/2014,0.626,11.83809524,15.84953704
3/6/2014,0.494,11.0625,15.50925926
3/7/2014,0.895,12.91666667,19.12037037
3/8/2014,0.967,11.85,20.8900463
3/9/2014,1.195,10.20416667,29.42013889
3/10/2014,0.169,13.41666667,22.87962963
3/11/2014,0.004,15.32083333,18.93981481
3/12/2014,1.283,15.81666667,18.73958333
3/13/2014,3.055,13.30952381,52.18055556
3/14/2014,0,11.1,39.98958333
3/15/2014,0,14.84166667,28.98032407
3/16/2014,0,15.35416667,23.51041667
3/17/2014,0,17.37916667,24.32986111
3/18/2014,0,19.49166667,19.54976852
3/19/2014,0.204,20.7173913,19.45949074
3/20/2014,0.037,14.21666667,18.62037037
3/21/2014,0.387,9.633333333,16.93981481
3/22/2014,0,14.6125,16.21990741
3/23/2014,0,16.81363636,15.62037037
3/24/2014,0,17.63333333,17.23958333
3/25/2014,0,19.1952381,15.92013889
3/26/2014,0.03,21.21666667,16.03935185
