,1531000,1515000,1540500,1553500,1567000,1576000
1/1/2003,,,27700.86344,20248.34688,40496.69376,144831.9256
2/1/2003,,,8737.996288,4711.913696,4800.817728,23750.07712
3/1/2003,,,459806.2104,172954.6296,45840.00752,836650.444
4/1/2003,,,82871.2584,109134.2352,9702.33288,135125.0568
5/1/2003,,,20388.9604,12303.683,36559.5152,121771.3083
6/1/2003,,,153767.688,20683.7952,43272.6768,372852.624
7/1/2003,,,44433.87232,11305.32701,1210.682407,58917.06488
8/1/2003,,,121490.0813,50902.09424,11502.18594,188422.1168
9/1/2003,,,114305.184,40006.8144,46946.772,337472.448
10/1/2003,,,73540.87096,42746.51008,9041.449336,158893.2776
11/1/2003,,,140159.928,91580.2248,46538.5392,378295.728
12/1/2003,,,73119.0304,31919.26904,70869.21408,739627.1152
1/1/2004,,,41762.21544,103069.7102,18420.37112,156081.0072
2/1/2004,,,2709.758608,1565.345992,973.408432,14601.12648
3/1/2004,,,239042.984,89852.03928,29950.67976,479492.1032
4/1/2004,,,101377.812,35788.4088,27215.52,319782.36
5/1/2004,,,96039.03416,57932.77024,9674.210176,158893.2776
6/1/2004,,,22724.9592,4531.38408,2531.04336,54158.8848
7/1/2004,,,151862.6016,51323.9348,6960.36924,250292.0656
8/1/2004,,,85633.63368,23482.45784,10391.33913,199671.1984
9/1/2004,,,2041164,806940.168,289845.288,4844362.56
10/1/2004,902.7387984,5582.356744,11713.10622,5202.70024,3430.969888,58495.22432
11/1/2004,6953.56536,21772.416,49396.1688,11607.41928,7960.5396,61507.0752
12/1/2004,18701.59816,51183.32128,198265.0632,29528.8392,13920.73848,378250.3688
1/1/2005,79306.02528,68056.94368,362782.8816,69322.46536,26575.95528,594795.1896
2/1/2005,17018.77184,25401.152,39117.77408,15494.70272,4229.291808,102874.6656
3/1/2005,42043.44248,103069.7102,255916.6064,74525.1656,71291.05464,680569.4368
4/1/2005,167375.448,349719.432,983841.048,164653.896,12559.96248,1234223.832
5/1/2005,639.791516,4063.730728,5090.209424,1968.58928,1265.52168,12992.68925
6/1/2005,1592.10792,2748.76752,4708.28496,1428.8148,1469.63808,6518.11704
7/1/2005,890.0835816,2727.902288,2798.209048,909.7694744,832.4320384,9168.001504
8/1/2005,396.5301264,561.0479448,901.3326632,440.1203176,492.14732,2446.675248
9/1/2005,2585.4744,1469.63808,1796.22432,1261.439352,457.220736,3388.33224
10/1/2005,30231.9068,91539.40152,43308.96416,2826.331752,1234.586706,61448.10824
11/1/2005,44905.608,40687.2024,50620.8672,19731.252,11226.402,40823.28
12/1/2005,16873.6224,27419.6364,209514.1448,43027.73712,14201.96552,461212.3456
1/1/2006,29810.06624,63697.92456,217950.956,57932.77024,32341.1096,365595.152
2/1/2006,6261.383968,28195.27872,46230.09664,10706.58557,6578.898368,88014.99168
3/1/2006,13133.30277,9266.430968,20107.73336,12711.46221,1131.938836,23482.45784
4/1/2006,1496.8536,16601.4672,21092.028,4803.53928,5157.34104,51845.5656
5/1/2006,1390.667713,6032.320008,14623.80608,8000.909288,3838.749096,33325.40424
6/1/2006,120156.5208,733458.264,974315.616,48307.548,15240.6912,1045075.968
7/1/2006,13878.55442,154674.872,281227.04,6004.197304,3360.663128,357158.3408
8/1/2006,16311.16832,41340.37488,28685.15808,3177.865552,812.7461456,18842.21168
9/1/2006,272155.2,18370.476,80557.9392,18506.5536,5347.84968,123694.5384
10/1/2006,51886.38888,49355.34552,64682.2192,7916.541176,929.4553672,100398.0533
11/1/2006,45858.1512,179622.432,405511.248,30209.2272,10627.66056,722572.056
12/1/2006,3487.215296,6102.626768,126130.3274,5526.111336,1757.669,24607.366
1/1/2007,28685.15808,61166.8812,85071.1796,140613.52,4569.9394,156081.0072
2/1/2007,227.3403104,1000.805389,1790.781216,3403.754368,1879.685248,10122.35907
3/1/2007,196858.928,314974.2848,513239.348,100257.4398,41480.9884,599013.5952
4/1/2007,13566.93672,135941.5224,133900.3584,24085.7352,8477.63448,149685.36
5/1/2007,2052.957392,9688.271528,20248.34688,26997.79584,2376.368488,43449.57768
6/1/2007,578.3298,2041.164,4041.50472,2517.4356,1374.38376,6654.19464
7/1/2007,406.3730728,1926.405224,1546.74872,871.803824,527.3007,4991.77996
8/1/2007,293.8822568,1504.564664,1884.221168,1574.871424,6454.160568,12036.51731
9/1/2007,854.567328,775.64232,665.419464,266.712096,507.569448,2993.7072
10/1/2007,161.705548,7902.479824,9772.63964,302.319068,410.5914784,7621.252784
11/1/2007,8395.98792,60690.6096,54839.2728,10682.0916,1646.53896,33611.1672
12/1/2007,66791.422,63276.084,158893.2776,23763.68488,7691.559544,165923.9536
1/1/2008,4077.79208,56104.79448,44574.48584,7396.271152,5258.945648,70728.60056
2/1/2008,93526.13448,132857.0968,239405.8576,40251.75408,15521.91824,459080.4632
3/1/2008,64682.2192,181391.4408,523082.2944,108975.478,217950.956,1165686.081
4/1/2008,28712.3736,41639.7456,76203.456,13879.9152,10600.44504,88178.2848
5/1/2008,966.0148824,2882.57716,29106.99864,13794.18631,19685.8928,92945.53672
6/1/2008,431.365992,1349.889792,10586.83728,1619.32344,1202.925984,12777.68664
7/1/2008,487.9289144,5244.884296,4007.48532,1462.380608,487.9289144,11305.32701
8/1/2008,1138.969512,3205.988256,2741.96364,655.2590032,420.4344248,6510.405976
9/1/2008,329.307792,733.458264,1011.056568,749.787576,1510.46136,5796.90576
10/1/2008,255.9166064,1673.300888,4752.736976,611.668812,600.4197304,5441.743224
11/1/2008,263.990544,3415.54776,8355.16464,767.477664,785.167752,11539.38048
12/1/2008,13766.06361,150456.4664,74525.1656,14764.4196,9716.394232,220763.2264
1/1/2009,913.98788,12781.76897,31778.65552,3332.540424,1701.423592,39934.23968
2/1/2009,34037.54368,20447.92736,68837.12192,26417.19808,3518.059552,88141.99744
3/1/2009,30653.74736,68056.94368,104897.6859,17576.69,1982.650632,236230.7136
4/1/2009,2313.3192,14288.148,35516.2536,20955.9504,12900.15648,68310.9552
5/1/2009,1588.932776,10025.74398,36840.74224,6383.853808,13175.48682,103913.3913
6/1/2009,13267.566,22861.0368,56880.4368,7389.01368,8763.39744,205477.176
7/1/2009,2910.699864,8703.976888,20107.73336,3107.558792,1372.387955,36840.74224
8/1/2009,1631.116832,24326.13896,25169.82008,7283.780336,915.3940152,65244.67328
9/1/2009,224.52804,3728.52624,6885.52656,7293.75936,646.3686,14015.9928
10/1/2009,2123.264152,36981.35576,56386.02152,20529.57392,11614.67675,139910.4524
11/1/2009,489.87936,11090.3244,22724.9592,7674.77664,2503.82784,48443.6256
12/1/2009,4668.368864,8647.73148,22216.93616,9055.510688,7536.884672,56245.408
1/1/2010,146238.0608,87461.60944,627136.2992,123880.5111,65525.90032,780405.036
2/1/2010,595.6570144,2311.504832,7569.543296,5410.445376,1511.368544,34799.57824
3/1/2010,44855.71288,60885.65416,187015.9816,39512.39912,52589.45648,375438.0984
4/1/2010,1891.47864,23541.4248,54022.8072,8736.18192,9198.84576,100833.5016
5/1/2010,1382.230902,3810.626392,15326.87368,9125.817448,9364.860432,59620.13248
6/1/2010,3102.56928,4504.16856,6531.7248,2122.81056,2394.96576,14696.3808
7/1/2010,582.1399728,1912.343872,2390.42984,1131.938836,1179.747433,8957.081224
8/1/2010,286.8515808,4373.080472,4991.77996,814.1522808,831.0259032,6440.099216
9/1/2010,125.3274696,1034.18976,1038.272088,442.2522,304.813824,4123.15128
10/1/2010,16873.6224,77196.82248,158893.2776,37403.19632,3445.03124,267165.688
11/1/2010,8845.044,37693.4952,10913.42352,4463.34528,1415.20704,25310.4336
12/1/2010,50480.25368,11881.84244,184203.7112,119662.1055,36700.12872,389499.4504
1/1/2011,271.3840936,2952.88392,2151.386856,961.7964768,719.9412224,4794.921032
2/1/2011,8903.103776,7163.124864,39244.77984,35053.58976,7239.32832,44833.03328
3/1/2011,149050.3312,233418.4432,485116.644,120646.4002,91820.62856,1365357.279
4/1/2011,155128.464,314339.256,774281.544,67766.6448,37421.34,1115836.32
5/1/2011,61166.8812,127536.4626,248885.9304,42043.44248,30091.29328,683381.7072
6/1/2011,2680.72872,22044.5712,42184.056,3211.43136,3211.43136,77155.9992
7/1/2011,378.2503688,6032.320008,9589.842064,624.3240288,430.2773712,8928.95852
8/1/2011,414.809884,64260.37864,46121.23456,2966.945272,389.4994504,97023.3288
9/1/2011,78652.8528,351080.208,757952.232,197312.52,53478.4968,3551625.36
10/1/2011,36840.74224,31497.42848,63557.31104,40356.08024,12233.37624,430277.3712
11/1/2011,5347.84968,9906.44928,31025.6928,18778.7088,11512.16496,101377.812
12/1/2011,8366.50444,22216.93616,102647.8696,19123.43872,11755.29027,157487.1424
1/1/2012,9786.700992,28966.38512,57792.15672,18701.59816,16873.6224,73259.64392
2/1/2012,1160.197618,4169.871256,16311.16832,6524.467328,1617.962664,24598.29416
3/1/2012,3079.436088,8268.074976,11727.16757,15045.64664,3923.117208,35153.38
4/1/2012,4381.69872,7688.3844,11484.94944,1442.42256,1034.18976,16193.2344
5/1/2012,3346.601776,27138.40936,82399.52272,15608.10072,21654.48208,179985.3056
6/1/2012,992.005704,3442.76328,8300.7336,5089.30224,14424.2256,41639.7456
7/1/2012,182.797576,613.0749472,801.497064,573.7031616,499.177996,2502.920656
8/1/2012,107.9911834,1273.958491,845.0872552,897.1142576,295.288392,6341.669752
9/1/2012,255.825888,794.693184,2735.15976,1374.38376,536.145744,18234.3984
10/1/2012,3459.092592,4246.528304,12373.98976,7522.82332,12120.88542,73540.87096
11/1/2012,1864.26312,4708.28496,31570.0032,11757.10464,3742.134,77972.4648
12/1/2012,10321.03237,20529.57392,126552.168,13414.52981,3121.620144,127255.2356
1/1/2013,20388.9604,17154.84944,39090.55856,34309.69888,11164.71349,85914.86072
2/1/2013,11316.21322,26417.19808,102112.631,54485.47104,32005.45152,247661.232
3/1/2013,6468.22192,65244.67328,71009.8276,9463.289896,4584.000752,89008.35816
4/1/2013,18914.7864,30889.6152,73209.7488,15104.6136,7443.44472,118795.7448
5/1/2013,922.4246912,7649.375488,10813.17969,6369.792456,4626.184808,33044.1772
6/1/2013,1043.715192,74434.4472,62187.4632,3129.7848,4449.73752,47763.2376
7/1/2013,5807.338376,115443.6999,114740.6323,8844.590408,1729.546296,79587.25232
8/1/2013,2924.761216,21373.25504,22076.32264,504.8025368,333.2540424,16873.6224
9/1/2013,236.775024,16465.3896,11212.79424,666.78024,174.179328,10464.36744
10/1/2013,154.674872,2756.024992,1968.58928,4823.043736,3894.994504,72837.80336
11/1/2013,549.753504,6341.21616,5143.73328,1030.107432,762.03456,8409.59568
12/1/2013,16592.39536,62573.0164,78040.5036,26294.72824,4387.141824,112490.816
1/1/2014,10405.40048,66510.19496,112772.043,8549.302016,1286.613708,158893.2776
2/1/2014,815.3769792,1739.978912,3810.1728,5016.72752,2667.12096,15113.68544
3/1/2014,20529.57392,19685.8928,167330.0888,38668.718,17014.23592,191234.3872
4/1/2014,27895.908,38237.8056,298009.944,25718.6664,10505.19072,498044.016
5/1/2014,32622.33664,13569.20468,105881.9806,67916.33016,54698.65928,456993.94
6/1/2014,16737.5448,11716.28136,22724.9592,4599.42288,13526.11344,43953.0648
7/1/2014,1476.44196,7185.350872,7283.780336,1205.057866,2896.638512,12486.48058
8/1/2014,3149.742848,3543.460704,5512.049984,11783.41298,1715.484944,16170.5548
9/1/2014,262.629768,1360.776,1564.8924,834.155688,231.33192,4191.19008
10/1/2014,88.16467704,3262.233664,10039.80533,978.6700992,2446.675248,9449.228544
11/1/2014,69.6717312,1205.647536,1918.69416,487.157808,276.237528,3265.8624
12/1/2014,421.84056,17014.23592,32481.72312,4893.350496,3487.215296,55120.49984
1/1/2015,163.1116832,5765.15432,9407.044488,1105.222267,697.4430592,9308.615024
2/1/2015,60.20073024,600.7372448,1333.56048,591.8468416,542.3145952,1223.065469
3/1/2015,18139.14408,3641.890168,73822.098,86758.54184,33747.2448,209514.1448
4/1/2015,33339.012,172818.552,298009.944,64500.7824,10818.1692,582412.128
5/1/2015,586.3583784,6257.30164,14201.96552,2474.797952,2418.552544,22638.77672
6/1/2015,18098.3208,24630.0456,32250.3912,12559.96248,17826.1656,83823.8016
7/1/2015,7508.761968,40918.53432,115162.4729,39793.62616,14623.80608,157487.1424
8/1/2015,464.024616,1434.257904,1476.44196,1344.265251,305.1313384,19404.66576
9/1/2015,265.35132,846.402672,402.789696,390.542712,213.641832,3728.52624
10/1/2015,1093.973186,1065.850482,4879.289144,7340.025744,388.0933152,14005.10659
11/1/2015,2844.02184,3728.52624,20139.4848,4463.34528,417.758232,29937.072
12/1/2015,5863.583784,7705.620896,14623.80608,13934.79983,3951.239912,62713.62992
1/1/2016,9463.289896,14342.57904,54698.65928,13273.91629,10067.92803,111647.1349
2/1/2016,47749.62984,50248.92176,207835.8544,18021.21016,26834.50272,624822.98
3/1/2016,3501.276648,8254.013624,29247.61216,4077.79208,1659.239536,71431.66816
